config,rpm,v_inf_ms,T_gf,T_N,CT,CP,J,eta
conventional,2000,15.0,3.2,0.031,0.0070,0.0483,0.293,0.042
conventional,2500,15.0,20.1,0.197,0.0280,0.0472,0.235,0.140
conventional,3000,15.0,44.8,0.440,0.0432,0.0463,0.195,0.182
conventional,3500,15.0,77.6,0.762,0.0534,0.0454,0.167,0.196
conventional,4000,15.0,118.1,1.159,0.0633,0.0446,0.146,0.208
conventional,4500,15.0,166.5,1.635,0.0703,0.0440,0.130,0.208
conventional,5000,15.0,222.0,2.180,0.0741,0.0436,0.117,0.199
conventional,5500,15.0,283.9,2.787,0.0777,0.0433,0.106,0.191
conventional,6000,15.0,351.5,3.450,0.0802,0.0430,0.097,0.181
toroidal_low_gap,2000,15.0,2.8,0.027,0.0062,0.0515,0.293,0.035
toroidal_low_gap,2500,15.0,18.4,0.181,0.0257,0.0504,0.235,0.120
toroidal_low_gap,3000,15.0,42.5,0.417,0.0409,0.0496,0.195,0.161
toroidal_low_gap,3500,15.0,76.4,0.750,0.0526,0.0491,0.167,0.179
toroidal_low_gap,4000,15.0,119.9,1.177,0.0642,0.0487,0.146,0.193
toroidal_low_gap,4500,15.0,174.1,1.709,0.0734,0.0483,0.130,0.197
toroidal_low_gap,5000,15.0,240.2,2.359,0.0802,0.0480,0.117,0.196
toroidal_low_gap,5500,15.0,318.5,3.127,0.0871,0.0476,0.106,0.194
toroidal_low_gap,6000,15.0,408.1,4.006,0.0931,0.0473,0.097,0.192
toroidal_medium_gap,2000,15.0,3.1,0.031,0.0068,0.0534,0.293,0.037
toroidal_medium_gap,2500,15.0,20.2,0.198,0.0282,0.0522,0.235,0.127
toroidal_medium_gap,3000,15.0,46.7,0.458,0.0450,0.0514,0.195,0.170
toroidal_medium_gap,3500,15.0,83.9,0.824,0.0578,0.0508,0.167,0.190
toroidal_medium_gap,4000,15.0,132.2,1.298,0.0708,0.0503,0.146,0.206
toroidal_medium_gap,4500,15.0,191.8,1.883,0.0809,0.0499,0.130,0.211
toroidal_medium_gap,5000,15.0,263.4,2.586,0.0879,0.0495,0.117,0.208
toroidal_medium_gap,5500,15.0,346.6,3.403,0.0948,0.0492,0.106,0.204
toroidal_medium_gap,6000,15.0,441.6,4.335,0.1007,0.0489,0.097,0.200
toroidal_high_gap,2000,15.0,2.5,0.025,0.0055,0.0555,0.293,0.029
toroidal_high_gap,2500,15.0,16.8,0.165,0.0234,0.0544,0.235,0.101
toroidal_high_gap,3000,15.0,39.3,0.386,0.0379,0.0536,0.195,0.138
toroidal_high_gap,3500,15.0,71.1,0.698,0.0490,0.0530,0.167,0.154
toroidal_high_gap,4000,15.0,112.5,1.104,0.0602,0.0524,0.146,0.168
toroidal_high_gap,4500,15.0,163.9,1.609,0.0691,0.0519,0.130,0.173
toroidal_high_gap,5000,15.0,226.1,2.219,0.0754,0.0516,0.117,0.171
toroidal_high_gap,5500,15.0,298.8,2.934,0.0818,0.0512,0.106,0.170
toroidal_high_gap,6000,15.0,381.1,3.742,0.0870,0.0509,0.097,0.166
