config,rpm,v_inf_ms,T_gf,T_N,CT,CP,J,eta
conventional,1000,3.0,10.2,0.100,0.0883,0.0499,0.117,0.207
conventional,1500,3.0,23.8,0.234,0.0927,0.0490,0.078,0.148
conventional,2000,3.0,43.5,0.427,0.0949,0.0480,0.058,0.115
conventional,2500,3.0,69.2,0.679,0.0965,0.0474,0.047,0.095
conventional,3000,3.0,101.0,0.992,0.0973,0.0468,0.039,0.081
conventional,3500,3.0,138.8,1.363,0.0975,0.0463,0.033,0.069
conventional,4000,3.0,182.5,1.792,0.0977,0.0459,0.029,0.062
conventional,4500,3.0,232.4,2.282,0.0979,0.0456,0.026,0.056
conventional,5000,3.0,288.2,2.829,0.0959,0.0453,0.023,0.049
conventional,5500,3.0,350.0,3.437,0.0957,0.0451,0.021,0.044
conventional,6000,3.0,418.4,4.107,0.0954,0.0449,0.019,0.040
toroidal_low_gap,1000,3.0,9.1,0.089,0.0787,0.0533,0.117,0.173
toroidal_low_gap,1500,3.0,22.1,0.217,0.0860,0.0522,0.078,0.129
toroidal_low_gap,2000,3.0,41.5,0.407,0.0905,0.0513,0.058,0.103
toroidal_low_gap,2500,3.0,67.6,0.663,0.0943,0.0506,0.047,0.087
toroidal_low_gap,3000,3.0,100.3,0.985,0.0966,0.0500,0.039,0.075
toroidal_low_gap,3500,3.0,141.5,1.389,0.0974,0.0495,0.033,0.065
toroidal_low_gap,4000,3.0,191.8,1.883,0.1027,0.0491,0.029,0.061
toroidal_low_gap,4500,3.0,251.2,2.467,0.1058,0.0487,0.026,0.056
toroidal_low_gap,5000,3.0,320.0,3.141,0.1066,0.0484,0.023,0.051
toroidal_low_gap,5500,3.0,397.3,3.901,0.1088,0.0481,0.021,0.047
toroidal_low_gap,6000,3.0,483.9,4.751,0.1104,0.0478,0.019,0.044
toroidal_medium_gap,1000,3.0,9.6,0.094,0.0832,0.0552,0.117,0.176
toroidal_medium_gap,1500,3.0,23.1,0.227,0.0899,0.0538,0.078,0.130
toroidal_medium_gap,2000,3.0,43.4,0.426,0.0947,0.0528,0.058,0.104
toroidal_medium_gap,2500,3.0,70.6,0.693,0.0985,0.0521,0.047,0.089
toroidal_medium_gap,3000,3.0,104.8,1.029,0.1009,0.0515,0.039,0.076
toroidal_medium_gap,3500,3.0,147.5,1.448,0.1016,0.0510,0.033,0.066
toroidal_medium_gap,4000,3.0,199.6,1.959,0.1069,0.0505,0.029,0.061
toroidal_medium_gap,4500,3.0,261.5,2.567,0.1102,0.0501,0.026,0.057
toroidal_medium_gap,5000,3.0,333.9,3.278,0.1113,0.0497,0.023,0.052
toroidal_medium_gap,5500,3.0,415.8,4.081,0.1138,0.0494,0.021,0.048
toroidal_medium_gap,6000,3.0,507.3,4.980,0.1157,0.0491,0.019,0.045
toroidal_high_gap,1000,3.0,8.4,0.082,0.0730,0.0572,0.117,0.149
toroidal_high_gap,1500,3.0,20.1,0.197,0.0783,0.0558,0.078,0.110
toroidal_high_gap,2000,3.0,37.9,0.372,0.0826,0.0548,0.058,0.088
toroidal_high_gap,2500,3.0,61.8,0.607,0.0862,0.0541,0.047,0.075
toroidal_high_gap,3000,3.0,92.4,0.907,0.0889,0.0536,0.039,0.065
toroidal_high_gap,3500,3.0,131.1,1.287,0.0907,0.0531,0.033,0.056
toroidal_high_gap,4000,3.0,178.3,1.750,0.0955,0.0526,0.029,0.053
toroidal_high_gap,4500,3.0,235.4,2.311,0.0992,0.0522,0.026,0.049
toroidal_high_gap,5000,3.0,301.2,2.957,0.1004,0.0518,0.023,0.044
toroidal_high_gap,5500,3.0,374.8,3.679,0.1023,0.0515,0.021,0.041
toroidal_high_gap,6000,3.0,455.6,4.474,0.1040,0.0512,0.019,0.039
